partition,label,sha256,rows,start,end,duplicate_timestamps
older_history,2015,b9688d228fb1955c36c3ff98121ce65e703c718ff6d346c3acc2cc8a91cc1bbe,239268,2015-01-02T00:00:00,2015-12-31T18:00:00,0
older_history,2016,f7d398b9e191159494fc447196b5b9b17e58908dd49079aa22063fc23bf42d44,215422,2016-01-04T07:00:00,2016-12-30T21:00:00,0
older_history,2017,1a46dc15b980b0e969adf65b5fa9327123ab82c270b0e3f65fb9bff2a536585e,211146,2017-01-03T07:00:00,2017-12-29T20:59:00,0
older_history,2018,a5c8c549bb5879a900ffbfc656e7888e0dc45146da7a30d5f7c588c53a97e04f,305647,2018-01-02T07:05:00,2018-12-31T21:14:00,0
older_history,2019,5b91e33480ace01d1f4f930d464756d28fb480d525e6a4523c09b7787a7fa845,342115,2019-01-01T23:00:00,2019-12-31T21:14:00,0
older_history,2020,6e4f9212e0ffcc604c5d8bb791c5ebc592061b594fe65b76c56e051f4ddb6f89,341059,2020-01-01T23:00:00,2020-12-31T21:14:00,0
older_history,2021,674121b3766e586e8bbca84c199035f136990a6f889939458083bf6666fa5a55,343906,2021-01-03T23:00:00,2021-12-31T21:14:00,0
forward_2026,2026_YTD,f8e46ff444879e51b149d8a2fe675b8a499186da279cc5d53c3947037059d3fc,189836,2026-01-01T23:00:00,2026-07-22T23:59:00,0
