name,acceptance_bars,entry_mode,all_trades,all_expectancy_r,all_net_r,all_profit_factor,all_max_drawdown_r,development_trades,development_expectancy_r,development_net_r,validation_trades,validation_expectancy_r,validation_net_r,research_later_trades,research_later_expectancy_r,research_later_net_r,funnel_break_attempts,funnel_acceptance_pass,funnel_entry_signals,funnel_trades
CONT_A1_IMMEDIATE,1,immediate,2055,-0.2071407898129898,-425.67432306569486,0.6603241236228664,425.67432306569486,1044,-0.2400360923383045,-250.59768040118976,518,-0.1778748960442296,-92.13919615091086,481,-0.1673984908543467,-80.51867410094073,2069,2069,2058,2055
CONT_A2_IMMEDIATE,2,immediate,1456,-0.0808361247914386,-117.69739769633436,0.8553869450657058,126.12543664347136,745,-0.1282000626685148,-95.50904668804336,348,-0.0042779170399161,-1.4887151298908237,354,-0.0495546583104459,-17.542349041897868,2069,1484,1457,1456
CONT_A1_PULLBACK,1,pullback,900,-0.1068320912881534,-96.1488821593379,0.8133188370749241,100.02826626449075,467,-0.1474557075922214,-68.86181544556737,204,-0.0364034334187399,-7.426300417422952,224,-0.0648549405890163,-14.52750669193967,2069,2069,902,900
CONT_A2_PULLBACK,2,pullback,530,-0.0755274953335397,-40.02957252677606,0.8621265274643444,52.90221897146151,274,-0.1521465819239963,-41.688163447174986,136,0.0303533798977805,4.12805966609816,116,0.0037256562278876,0.4321761224349709,2069,1484,532,530
