variant,policy,trades,coverage,expectancy_r,net_r,profit_factor,max_drawdown_r,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r,portfolio_removed,portfolio_added
IFVG_OBSERVE,observe,491,1.0,0.180235811449135,88.49578342152539,1.3819983049452256,14.107857513807524,0.1957226473654047,0.1691586344420378,0.1770120928283138,0,0
IFVG_CONFIRM_ANY,confirm_any,455,0.9266802443991852,0.1684192255060299,76.63074760524371,1.3575960143137915,13.074524180474189,0.1878446674243034,0.1843140969789058,0.1196483604830336,36,0
IFVG_CONFIRM_RECENT_3,recent_3,318,0.6476578411405295,0.1683854938560174,53.54658704621353,1.3527427667011933,15.746542480876355,0.2221097926721294,0.1973574854225625,0.0444503524071774,178,5
IFVG_CONFIRM_RECENT_6,recent_6,367,0.7474541751527495,0.1575028211555424,57.80353536408406,1.3312557512209062,14.90654114018878,0.1674840012792012,0.2384562968674305,0.0638009137278475,128,4
IFVG_CONFIRM_RECENT_12,recent_12,432,0.879837067209776,0.1603467854143801,69.26981129901229,1.3375202674179762,13.50922666057465,0.1728966768610148,0.2222685115036855,0.0800356420178218,60,1
IFVG_ZONE_TOUCH,zone_touch,212,0.4317718940936864,0.1533685776380642,32.51413845926964,1.315136629031194,8.986899927401621,0.1853121925296046,0.1222117964486925,0.1153586136578044,281,2
