fold,selected,train_start,train_end,test_start,test_end,train_trades,train_expectancy_r,train_profit_factor,train_max_drawdown_r,train_net_r,test_trades,test_expectancy_r,test_profit_factor,test_max_drawdown_r,test_net_r
2024H1,EXIT_RUN25,2023-01-01,2024-01-01,2024-01-01,2024-07-01,170,0.1381786168857232,1.287992348417983,8.95534845823845,23.49036487057295,80,0.19662087565709174,1.4002393553719865,6.4980450888491,15.729670052567334
2024H2,PIVOT_3,2023-07-01,2024-07-01,2024-07-01,2025-01-01,130,0.269872625677846,1.6200772599273983,6.028078091698081,35.08344133811998,64,0.005544318773114398,1.010677195444451,10.111887601593192,0.354836401479325
2025H1,ER_0.20,2024-01-01,2025-01-01,2025-01-01,2025-07-01,112,0.2577762623698466,1.5729205392528192,5.925019066195819,28.870941385422817,70,0.33917351122641404,1.8328192520790738,4.16279611506436,23.742145785848972
2025H2,IMPULSE_1.05,2024-07-01,2025-07-01,2025-07-01,2025-12-11,165,0.19131626713060007,1.4294479064009074,6.739747588947566,31.56718407654903,75,0.05166600841040655,1.1043455235019608,8.159857228141052,3.8749506307804875
