age_bucket,coverage,trades,expectancy_r,net_r,profit_factor,max_drawdown_r,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r
0,0.2057026476578411,101,0.1627940096727246,16.44219497694519,1.349916313842637,6.90349218957145,0.0889407894684359,0.3199151248862074,0.2052238445090309
1-3,0.4317718940936864,212,0.1913128454315586,40.558323231490455,1.402578885721463,15.836006645651718,0.2855236037215073,0.1879216781369073,-0.0069325407452912
4-6,0.1018329938900203,50,0.0725037769673647,3.6251888483682366,1.15286393227604,9.582457256726086,-0.1604085127296225,0.4112025333319546,0.2384483149462473
7-12,0.1384928716904277,68,0.1421191800324757,9.664104242208344,1.2949861359310582,6.557085781770399,0.2025510191076944,0.0521653147570011,0.1023631492545308
13+,0.0488798370672097,24,0.2642056794263099,6.340936306231438,1.6288972167469002,5.38906551284277,0.4813688457579728,-0.3958462393284407,0.6361337796988037
