fold,selected_threshold,train_trades,train_expectancy,train_return_dd,test_trades,test_expectancy,test_net_r,test_pf,test_max_dd
2024H1,65,42,0.0638020516446731,0.5589029516247278,21,0.0477886913652143,1.0035625186695012,1.117309137451747,4.339265142825691
2024H2,65,63,0.0584642648848535,0.7682162884986791,25,0.2082152770569294,5.205381926423238,1.468506035314536,4.4231326183332005
2025H1,65,88,0.1010071660701024,1.8539043651792544,16,-0.1944979944356232,-3.1119679109699723,0.6663341870097111,5.068646306272336
2025H2,90,45,0.1748538184561514,1.4354872078559962,9,0.5870930518719975,5.283837466847977,3.5500639057407666,2.072041196674668
