day_of_week,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r
1,137,0.08485011020390734,-0.16518518518518518,1.1713070438052844,0.49635036496350365,9.152269870588938,11.624465097935305,1.2701182616228168,216.61313868613138,1.3809518269097598,0.7381666273872782
2,132,0.09679736337205738,-0.15679198903932948,1.1947041053888823,0.49242424242424243,9.845048688098816,12.777251965111569,1.2978353251373298,217.59848484848484,1.4963479693769686,0.7505319580748306
3,147,0.2064223398673239,0.22422360248447204,1.4384404819372396,0.5170068027210885,7.938106244596938,30.344083960496597,3.82258476083641,207.0204081632653,1.4748749549709816,0.7544177907006417
4,88,0.3343017968055188,0.5709987771543663,1.7939482922028933,0.5227272727272727,9.356148779764425,29.41855811888565,3.144302085331564,192.125,1.6534486572699174,0.7159104806686328
