variant,policy,coverage,trades,expectancy_r,net_r,profit_factor,max_drawdown_r,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r
IFVG_OBSERVE,observe,1.0,491,0.180235811449135,88.49578342152539,1.3819983049452256,14.107857513807524,0.1957226473654047,0.1691586344420378,0.1770120928283138
IFVG_CONFIRM_ANY,confirm_any,0.9266802443991852,455,0.1684192255060299,76.63074760524371,1.3575960143137915,13.074524180474189,0.1878446674243034,0.1843140969789058,0.1196483604830336
IFVG_CONFIRM_RECENT_3,recent_3,0.6374745417515275,313,0.1821102818160882,57.00051820843561,1.3858289303933058,15.746542480876355,0.2221097926721294,0.2280209530987199,0.0647046802496746
IFVG_CONFIRM_RECENT_6,recent_6,0.7393075356415478,363,0.1670129670986332,60.62570705680387,1.3536050439742406,15.132232839793526,0.1671624117856899,0.2521767658767289,0.0881307882986507
IFVG_CONFIRM_RECENT_12,recent_12,0.8778004073319755,431,0.163085409046432,70.28981129901229,1.3442009404764514,13.50922666057465,0.1728966768610148,0.2222685115036855,0.090413336753839
IFVG_ZONE_TOUCH,zone_touch,0.4276985743380855,210,0.1644396790804483,34.532332606894165,1.3413751797287232,8.986899927401621,0.1853121925296046,0.1222117964486925,0.1632077918480201
