partition,year,trades,net_r,expectancy_r,win_rate,profit_factor,max_drawdown_r
primary_forward,2015,29,-17.25694583031291,-0.5950670975969969,0.2413793103448276,0.3933372160696857,20.28408544846468
primary_forward,2016,38,13.207206193612542,0.3475580577266458,0.4473684210526316,1.6093087555034458,6.114882928891431
primary_forward,2017,41,-8.846146442377748,-0.2157596693262865,0.2926829268292683,0.7463738412009554,14.618224894150504
primary_forward,2018,27,-10.7165025887044,-0.3969075032853482,0.2592592592592592,0.5401339485637677,17.72478165341355
primary_forward,2019,42,-34.36440945184028,-0.8182002250438162,0.1904761904761904,0.2616784283326946,37.02785269360312
crisis_regime,2020,51,-5.830749379580194,-0.1143284192074547,0.2941176470588235,0.8549087605346655,10.203229629387916
crisis_regime,2021,60,-0.3943914221650082,-0.0065731903694168,0.35,0.9908491700477856,15.025359919841708
crisis_regime,2022,23,9.34389102188191,0.40625613138617,0.4347826086956521,1.668666556136637,5.2053230513439575
recent_holdout,2023,46,-2.285219417695592,-0.0496786829933824,0.3043478260869565,0.9265085234120628,11.463857104965475
recent_holdout,2024,47,3.288910322279882,0.069976815367657,0.3617021276595745,1.1094398480931753,10.229387954341394
recent_holdout,2025,55,9.547530672187396,0.1735914667670435,0.4,1.2675591504892771,10.337950329737748
monitoring_2026_ytd,2026,29,4.273506506347905,0.1473622933223415,0.4482758620689655,1.267659357490268,5.865785452091815
