family,candidate,incremental_t_per_session,familywise_incremental_p,date_observed_delta_r,date_lo95_delta_r,date_hi95_delta_r,date_prob_delta_positive,month_observed_delta_r,month_lo95_delta_r,month_hi95_delta_r,month_prob_delta_positive
PATH,P1_TOTAL_PATH_LE_12_BARS,-1.357070434323598,1.0,-25.147325608850693,-62.345076733785305,10.434022876788287,0.08935,-25.147325608850693,-63.90283181793002,11.080737039949703,0.09235
PATH,P2_BOS_QUALITY_2_OF_3,-1.0868629443975055,1.0,-12.430514020104441,-35.207836785874626,9.298690509893142,0.1355,-12.430514020104441,-36.47451773667753,10.929832821380616,0.151
PATH,P3_ENTRY_EXTENSION_LE_0_35R,-0.8587453543364395,1.0,-10.685938922550033,-34.6095026321733,12.714540023430965,0.1873,-10.685938922550033,-30.1918490580855,7.4573939669031,0.1285
REWARD,R1_CLEAR_TO_TP1,-1.3822183725396944,1.0,-24.926210422719578,-61.38278339966318,10.152553379514535,0.0829,-24.926210422719578,-60.592874020246676,9.250211551530027,0.07985
REWARD,R2_CLEAR_TO_RUNNER,-1.5822766847841814,1.0,-32.372037364891476,-73.44965991131909,7.933184438197861,0.0555,-32.372037364891476,-72.58533013318912,6.785019572124459,0.0536
INTERACTION_SHADOW,I1_BOS_QUALITY_AND_TP1_CLEARANCE,,,-31.573830143349156,-70.65715349471152,6.189510454253285,0.0497,-31.573830143349156,-68.07783727158395,4.18290934104913,0.0426
