candidate,qualifying_signals,trades,net_r,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,return_dd,two_tick_each_side_expectancy_r,four_tick_each_side_expectancy_r,net_2023,net_2024,net_2025,net_ASIA_7PM,net_LONDON_2AM,net_NEW_YORK_9AM,net_long,net_short,familywise_incremental_p,classification,trade_stream_sha256
UNFILTERED_CONTROL,492,477,42.577515003033874,0.0892610377422093,-0.22781155015197568,1.178993059960674,0.48846960167714887,16.426493058604258,2.5920027391806317,0.07159353578506074,0.036258531870763624,8.068333174468936,28.20713417547065,6.1796500107941466,7.3809736111686455,24.464781227093628,10.731760164771554,6.98496078730876,35.59255421572508,,,25947c37907511fdab63a5d9cc72bf0cb2de4cb3d9b009fadae6b82cbce0d635
E6_BASE,310,304,48.93754952687203,0.1609787813383947,0.35025525525525525,1.3400098796793343,0.5164473684210527,8.632571354238342,5.668942371712354,0.14324066088528795,0.10776441997907442,12.808495581639798,23.26470212568401,12.741954177248077,13.290431522448728,21.1993730693449,14.447744935078353,18.411535726382187,30.526013800489807,,,6a846f460af410b2bc4784f2674c566c28ed2d3720fe4a2b82161afd246c33b2
P1_TOTAL_PATH_LE_12_BARS,96,93,23.790223918021297,0.25580885933356223,0.5904545454545455,1.5816076500788148,0.5591397849462365,8.468160391679293,2.8093733252144433,0.24017100385094603,0.20889529288571348,8.688564134663018,14.081794022913659,-1.5888949233160643,7.481895951308647,6.679553144475188,9.628774822237459,7.1363727509628445,16.653851167058452,1.0,REJECT,9575103e1c5a229783cb5eab2b031977fe95a1955eb123f8d21ad7cc5e1f4585
P2_BOS_QUALITY_2_OF_3,227,225,36.50703550676754,0.16225349114118906,0.35162162162162164,1.3435259864621676,0.5244444444444445,11.450650696080793,3.1882061968113984,0.14451547536140405,0.10903944380183393,12.629490607344314,7.392175885223384,16.362971371899746,17.715683442842675,14.50084445427899,4.290507609645882,19.17786174155679,17.329173765210754,1.0,SHADOW_ONLY,e59e97a51023b179cd452385677cafa9e0a1c24cd76ce5648949383d6bf4ecb3
P3_ENTRY_EXTENSION_LE_0_35R,213,208,38.251610604321996,0.18390197405924016,0.4026741648480779,1.3941747043242716,0.5192307692307693,9.56988046758168,3.997083425848497,0.1664406514562341,0.13151800625022192,17.973293420635763,17.64066119320147,4.109058402024055,11.529153288449878,12.37820482223139,14.344252493640683,20.418239258083098,17.833371346238856,1.0,SHADOW_ONLY,3bc4b2733f4a039ebdbbfc97c64be7a9f9d71c8a9a1bc10227d80fea863119d6
R1_CLEAR_TO_TP1,100,99,24.011339104152412,0.24253877882982228,0.5836956521739131,1.5414772405015538,0.5454545454545454,8.23481979436305,2.9158305468431505,0.22448042518595168,0.18836371789821046,4.768005484489581,14.119927550189262,4.566860917594927,3.9698938988822627,13.83376196099282,6.207683244277326,9.056930094202258,14.95440900995015,1.0,REJECT,ff0cc42b9b781d73c3947e3dd55de2eefef8cacafd0155be771f6889596d0e8e
R2_CLEAR_TO_RUNNER,47,46,16.56551216198051,0.36011982960827205,0.5927925170068027,1.9850301349585546,0.6086956521739131,3.4346030175345126,4.823122811401901,0.3439712892058184,0.311674208400911,1.3913427029792618,5.430077698998059,7.135331076242506,4.7903926120415115,10.575926234972712,1.199193314966286,7.03791383631009,9.527598325670418,1.0,SHADOW_ONLY,91a55fb244fb7d0ca755a61242b134cb9c2f39f7b8f5b5802fd81bae7b2426d4
I1_BOS_QUALITY_AND_TP1_CLEARANCE,77,76,17.363719383522835,0.22846999188845835,0.589885752688172,1.5124853042846402,0.5526315789473685,6.527584220555441,2.6600529072982737,0.21065376605881947,0.1750213143995417,4.834715976513333,5.564222215579761,6.408236039551099,2.421245250233614,9.29596924730183,5.6465048859873885,9.118479795114155,8.245239588408682,,SHADOW_ONLY,34dd779f67662cea8d47f6bd27faa815c2be8f3961446b733342d7ec41f3c357
