layer,arm,qualifying_signals,eligible_session_opportunities,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r,two_tick_expectancy_r,four_tick_expectancy_r,net_2023,net_2024,net_2025
UNFILTERED,A0_CURRENT,492,1666,477,0.0892610377422093,-0.22781155015197568,1.178993059960674,0.48846960167714887,16.426493058604258,42.577515003033874,2.5920027391806317,204.92872117400418,1.3923261067184651,0.7371610809538426,0.07159353578506074,0.036258531870763624,8.068333174468936,28.20713417547065,6.1796500107941466
UNFILTERED,A1_ADD_MONDAY,622,2116,604,0.07392067145265292,-0.3247542287610138,1.1458272607043796,0.48509933774834435,15.15761597568854,44.648085557402425,2.9455875929970756,204.68708609271522,1.3847939812065513,0.735269980252017,0.05552920515446343,0.018746272558084455,13.46523778386608,23.293182299350285,7.767267831885913
UNFILTERED,A2_REMOVE_ASIA,350,1221,349,0.07973191875426998,-0.2686553834023092,1.1607584521826322,0.48424068767908307,9.485183388701088,27.826439645240228,2.9336743956250286,178.1375358166189,1.3659558855324494,0.7325880361611354,0.06498415900582258,0.03548863950892778,0.9450660024284894,26.472679817372462,-1.7837173395112647
UNFILTERED,A3_ADD_MONDAY_REMOVE_ASIA,434,1520,433,0.04993280741169575,-0.5289644012944984,1.0974399970830269,0.47344110854503463,12.257222062686537,21.62090560926427,1.763931949563244,177.50346420323325,1.342955512303618,0.7279578527769986,0.0348716259488406,0.004749263023130306,3.4327889914046645,19.834097579780703,-3.838392126871641
E5_EXCLUDE_COMPRESSED_RANGE,A0_CURRENT,343,1666,335,0.1476549951104392,0.0556786703601108,1.3056839534256472,0.5014925373134328,9.470456769762503,49.46442336199716,5.223024038283807,211.01194029850745,1.4275081193255412,0.7330075229769378,0.1315092695755665,0.0992178185058211,6.912579596570021,20.899099228147104,21.530346894979907
E5_EXCLUDE_COMPRESSED_RANGE,A1_ADD_MONDAY,418,2116,408,0.09915612969846758,-0.2441215061341443,1.1992467816994803,0.49019607843137253,14.08337090679828,40.455700916974784,2.8725864840672584,207.89705882352942,1.3803556843655465,0.7316245983303012,0.08318971138971809,0.05125687477221903,12.012674403023128,9.96909094771671,18.351537923934846
E5_EXCLUDE_COMPRESSED_RANGE,A2_REMOVE_ASIA,246,1221,245,0.14480568387551568,-0.21958762886597938,1.2962473813814948,0.4897959183673469,9.94347516311596,35.47739254950134,3.567906789881686,183.06938775510204,1.4128856712147646,0.7330455022918553,0.1315576421851158,0.10506155880431596,5.031402506190324,16.634409263360993,11.619169614999494
E5_EXCLUDE_COMPRESSED_RANGE,A3_ADD_MONDAY_REMOVE_ASIA,304,1520,303,0.07004091992741598,-0.7584537090088083,1.1352516136112745,0.46534653465346537,13.108229840307342,21.222398738007083,1.619013321901708,179.82838283828383,1.3435006602390895,0.7381421097209836,0.05664308825550062,0.029847424911669845,8.793291735578842,0.5317773027427319,9.704918534734938
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,A0_CURRENT,310,1666,304,0.1609787813383947,0.35025525525525525,1.3400098796793343,0.5164473684210527,8.632571354238342,48.93754952687203,5.668942371712354,203.60197368421052,1.4586332931118855,0.7238620328444894,0.14324066088528795,0.10776441997907442,12.808495581639798,23.26470212568401,12.741954177248077
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,A1_ADD_MONDAY,396,2116,390,0.14965065902653554,0.20668904129578286,1.3109157652592809,0.5128205128205128,11.249355720175544,58.36375702034889,5.188186636828846,204.41794871794872,1.4681838957598432,0.7206599513277834,0.13157957268055367,0.09543739998858994,17.697960176501738,23.91365601215131,16.629743189395718
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,A2_REMOVE_ASIA,217,1221,216,0.14895554932904123,0.2780052926120342,1.316108151093394,0.5138888888888888,7.076709590683031,32.174398655072906,4.5465195713884725,175.76388888888889,1.4119965930355836,0.7119953097267152,0.13437391921915637,0.10521065899938666,3.402387985671627,16.337770364140166,10.24182914031058
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,A3_ADD_MONDAY_REMOVE_ASIA,275,1520,274,0.10743000511010248,-0.14579037800687283,1.2175096040537123,0.49635036496350365,8.813494607536054,29.435821400168102,3.3398581052059364,174.85401459854015,1.3897440254880897,0.7099682537427725,0.09257260352814224,0.06285780036422166,2.806598874268228,13.141114226078338,11.295697134870979
