method,metric,estimate,lo95,hi95,p_value
trade_bootstrap,cohort_expectancy,0.2915430789823687,0.0023137963818953,0.5867813355257959,
trade_bootstrap,cohort_minus_complement,0.1307460965521956,-0.1854669717259428,0.4561521375423106,
month_block_bootstrap,cohort_expectancy,0.2915430789823687,0.0550396172494337,0.5562266130431052,
month_block_bootstrap,cohort_minus_complement,0.1307460965521956,-0.1028437199846976,0.3829408479510301,
permutation_one_sided,cohort_minus_complement,0.1307460965521956,,,0.2102894855257237
