category,trades,net_r,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,return_dd,mfe_r,mae_r,stop_first_rate,tp1_rate,tp2_rate,two_tick_each_side_expectancy,negative_years,off_trades,off_expectancy_r,expectancy_gap_vs_off_r,stop_first_gap_vs_off,tp1_gap_vs_off,classification
FOMC_DAY,14,-5.558986884983001,-0.39707049178450005,-1.010636539421,0.4575405248049414,0.2857142857142857,10.247745940808,-0.5424594751950587,0.9316238744305715,0.909818580437,0.7142857142857143,0.2857142857142857,0.0,-0.42138506224027406,2,290,0.1879190910754,-0.5849895828599001,0.27980295566502467,-0.17635467980295566,WATCH_RISK
FOMC_PRE,9,-7.618852964020001,-0.8465392182244446,-1.012337662338,0.07314385265387985,0.1111111111111111,8.22010296402,-0.9268561473461202,0.6796348034343334,1.0488213118410001,0.8888888888888888,0.1111111111111111,0.0,-0.8750600327297209,3,295,0.1917166186132305,-1.038255836837675,0.4549905838041431,-0.35329566854990585,DESCRIPTIVE_ONLY
FOMC_POST,5,2.0598660790370005,0.4119732158074001,0.596641791045,2.015891901393827,0.6,2.027642976788,1.0158919013938268,1.3852042022238,0.6596136639098,0.4,0.6,0.0,0.39522988464073,1,299,0.15678154999279598,0.2551916658146041,-0.04816053511705681,0.14849498327759197,DESCRIPTIVE_ONLY
FOMC_CROSSING,2,-0.4048593247590001,-0.20242966237950005,-0.20242966237950005,0.5975990731862278,0.5,1.006109324759,-0.40240092681377215,1.9859927652735,0.953396302251,0.5,0.5,0.0,-0.21814509646310132,1,302,0.16338545977364902,-0.36581512215314904,0.05298013245033112,0.04635761589403975,DESCRIPTIVE_ONLY
CPI_DAY,18,1.7580679104219996,0.09767043946788886,-0.5383364650520001,1.190574781163243,0.4444444444444444,3.8310516692529992,0.4588995561014707,1.3426467622658336,0.8168694025998888,0.5,0.3333333333333333,0.16666666666666666,0.08158150845689462,1,286,0.1649632224351783,-0.06729278296728944,0.05594405594405594,-0.12820512820512825,NO_CLEAR_PATTERN
CPI_PRE,8,0.748465037616,0.093558129702,-1.0112104949315,1.1473363992800885,0.375,2.029531388152,0.36878712100014316,1.57013686192975,0.9094878226865,0.625,0.375,0.25,0.07690879254631208,1,296,0.16280096111238854,-0.06924283141038853,0.18243243243243246,-0.08108108108108109,DESCRIPTIVE_ONLY
CPI_POST,10,1.009602872806,0.1009602872806,0.2507090135985,1.2435649203678085,0.5,2.4119634101139997,0.4185813385777199,1.1606546825347,0.7427746665306,0.4,0.3,0.1,0.08531968118536068,1,294,0.16302022671454763,-0.062059939433947636,-0.04897959183673467,-0.15918367346938778,NO_CLEAR_PATTERN
CPI_CROSSING,4,4.820746458569,1.20518661464225,1.609702576408,5.7839468672836745,0.75,1.007692307692,4.783946867283675,2.8295642970367503,0.7464601941487501,0.25,0.75,0.5,1.1909093668973654,0,300,0.14705601022771334,1.0581306044145367,-0.2,0.3,DESCRIPTIVE_ONLY
NFP_DAY,9,1.3704940632130005,0.15227711813477784,0.348888888889,1.3374628120715455,0.5555555555555556,2.4540191211039994,0.5584691869052963,1.3035327408271111,0.8021500316892223,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.13561485022809677,1,295,0.16124425580905083,-0.008967137674272985,-0.11751412429378533,-0.0097928436911488,DESCRIPTIVE_ONLY
NFP_PRE,4,-0.8568889660289997,-0.21422224150724992,-0.21639860139849992,0.5785229512455028,0.5,2.0330619865569997,-0.4214770487544973,1.3190936138709999,1.2383590688985,0.5,0.5,0.0,-0.2423509167781112,1,300,0.16598146164304,-0.38020370315028995,0.053333333333333344,0.04666666666666669,DESCRIPTIVE_ONLY
NFP_POST,5,2.227383029242,0.4454766058484,0.348888888889,2.09825626431487,0.6,1.025333333333,2.172350158559224,1.291084042392,0.45318280192179994,0.2,0.4,0.2,0.43798746383306303,0,299,0.15622129263425083,0.28925531321414916,-0.251505016722408,-0.05484949832775915,DESCRIPTIVE_ONLY
NFP_CROSSING,1,-1.014615384615,-1.014615384615,-1.014615384615,0.0,0.0,1.014615384615,-1.0,0.7,2.969230769231,1.0,0.0,0.0,-1.0299999999996152,1,303,0.1648586300709505,-1.1794740146859504,0.5544554455445545,-0.45544554455445546,DESCRIPTIVE_ONLY
EXPIRATION_DAY,3,0.5860096416990004,0.19533654723300012,-1.00695970696,1.2904086765920453,0.3333333333333333,2.01787924719,0.2904086765920453,1.5280970625800003,0.7175122450983333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.18165571975906905,1,301,0.16063634513350164,0.03470020209949848,0.22148394241417496,-0.12181616832779624,DESCRIPTIVE_ONLY
EXPIRATION_WEEK,27,-2.0858621308149994,-0.07725415299314813,-1.00695970696,0.8728945811357752,0.37037037037037035,5.100494676563001,-0.4089529081168594,1.1443402115901113,0.7931739079502222,0.5925925925925926,0.25925925925925924,0.1111111111111111,-0.09689678043583247,2,277,0.18420004208555235,-0.2614541950787005,0.15937959620270087,-0.21366492846637253,WATCH_RISK
ROLL_DAY,0,0.0,,,,,0.0,,,,,,,,0,304,0.16097878133843094,,,,DESCRIPTIVE_ONLY
