candidate,observed_delta_r,lo95_delta_r,hi95_delta_r,prob_delta_positive
P1_TOTAL_PATH_LE_12_BARS,-25.1473256088507,-61.69928812424192,10.730998474134966,0.0901
P2_BOS_QUALITY_2_OF_3,-12.43051402010444,-35.36131717610375,9.70406019268948,0.1355
P3_ENTRY_EXTENSION_LE_0_35R,-10.685938922550031,-35.33616216686475,12.370395839818174,0.186
R1_CLEAR_TO_TP1,-24.92621042271958,-61.58345631155592,10.628944919731236,0.0849
R2_CLEAR_TO_RUNNER,-32.37203736489148,-73.0051541173681,8.690896928662779,0.0599
I1_BOS_QUALITY_AND_TP1_CLEARANCE,-31.573830143349156,-70.05157834314183,6.2683680621260365,0.0495
