variant,status,trades,net_r,expectancy_r
CISD_LAST_CANDLE_CONFIRM,added,4,-0.8230724537383066,-0.20576811343457665
CISD_LAST_CANDLE_CONFIRM,removed,186,43.145941927037256,0.23196742971525405
CISD_SEQUENCE_CONFIRM,added,4,-0.8230724537383066,-0.20576811343457665
CISD_SEQUENCE_CONFIRM,removed,186,43.145941927037256,0.23196742971525405
CISD_SEQUENCE_RECENT_3,added,5,-1.8331788367170296,-0.3666357673434059
CISD_SEQUENCE_RECENT_3,removed,200,46.31623639687018,0.2315811819843509
CISD_SEQUENCE_RECENT_6,added,5,-1.8331788367170296,-0.3666357673434059
CISD_SEQUENCE_RECENT_6,removed,187,43.37016552952173,0.23192601887444775
CISD_SEQUENCE_RETEST,added,2,-2.04125392396233,-1.020626961981165
CISD_SEQUENCE_RETEST,removed,418,67.21313865581237,0.16079698243017315
