route,policy,trades,expectancy_r,profit_factor,max_drawdown_r,net_r,return_dd,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r,funnel_gap_liquidations,signal_fill_rate,median_latency_minutes,median_price_improvement_ticks
ENTRY_BREAK_CLOSE,break_close,495,0.1737469926176979,1.366382911440713,14.10785751380752,86.00476134576057,6.096231214526141,0.1922494577297365,0.1597799437600883,0.1770120928283138,4,1.0,0.0,0.0
ENTRY_FIRST_PULLBACK,first_pullback,295,0.2109064598729578,1.4460394918670023,16.69362683854787,62.21740566252255,3.727015481072935,0.2620209244726986,0.1663836263094224,0.191984698003664,3,0.594488188976378,15.0,-2.0
ENTRY_HYBRID_PREDECLARED,hybrid,323,0.2141945710107691,1.4460522392653523,20.945852696743987,69.18484643647838,3.303033179796643,0.2387923537496901,0.2695492975852556,0.1339725183862344,3,0.6515748031496063,10.0,0.0
