name,acceptance_bars,entry_mode,min_minutes_from_range_end,all_trades,all_expectancy_r,all_profit_factor,all_max_drawdown_r,all_net_r,all_return_dd,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r,funnel_gap_liquidations
CONT_A1_IMMEDIATE,1,immediate,0,2057,-0.2064817662224435,0.6610752778670504,424.7329931195671,-424.7329931195671,-1.0,-0.2400360923383045,-0.1753805119322755,-0.1673984908543467,2
CONT_A2_IMMEDIATE,2,immediate,0,1457,-0.0804736962759865,0.8559364404076244,125.67821442124914,-117.25017547411213,-0.9329395393947288,-0.1282000626685148,-0.0029842203658126,-0.0495546583104459,1
CONT_A1_PULLBACK,1,pullback,0,902,-0.1090255083098099,0.8098718619599343,102.22039260060122,-98.34100849544836,-0.9620488240510824,-0.1496833663366825,-0.0411142768465044,-0.0648549405890163,2
CONT_A2_PULLBACK,2,pullback,0,532,-0.0793640956069296,0.8556659757872132,55.09434530757197,-42.22169886288652,-0.7663526742568211,-0.1559205943533637,0.0228170316057496,0.0037256562278876,2
CONT_A2_PULLBACK_LATE60,2,pullback,60,147,0.1088950017879887,1.2429596266510765,8.003632558458511,16.007565262834337,2.0000375012114966,0.0522606597257729,0.1710572318358503,0.2307262687636912,0
CONT_A2_PULLBACK_LATE60_SLIP2,2,pullback,60,147,0.0398787102019455,1.082394994670527,13.293456066460344,5.862170399685992,0.4409816657442729,-0.0632895785756227,0.1923835644679986,0.1645310268136904,0
CONT_A2_PULLBACK_LATE60_SLIP4,2,pullback,60,147,-0.0419281307280038,0.9182649236280326,15.941347853711134,-6.163435217016575,-0.3866320008556699,-0.1261043236576725,0.1132811827354181,0.0375372337376334,0
CONT_A2_PULLBACK_LATE60_NOBE,2,pullback,60,147,0.1664422400641707,1.3604552477182763,7.680990157366484,24.46700928943309,3.185397818270592,0.1468552543203675,0.260123744422767,0.1808133994342559,0
