cost_scenario,risk_fraction,risk_pct,adjusted_net_r,adjusted_expectancy_r,final_equity_usd,total_return_pct,maximum_drawdown_pct,maximum_drawdown_usd,longest_losing_streak,maximum_time_under_water_trades,minimum_equity_usd
NORMAL_1_TICK_EACH_SIDE,0.005,0.5,42.57751500303384,0.0892610377422093,122594.75107296204,0.2259475107296202,0.0793780038346697,8905.620554066772,9,97,96581.10521834236
NORMAL_1_TICK_EACH_SIDE,0.01,1.0,42.57751500303384,0.0892610377422093,147582.4031650436,0.4758240316504358,0.1534294805526002,19216.905336973723,9,109,93190.06920876782
NORMAL_1_TICK_EACH_SIDE,0.015,1.5,42.57751500303384,0.0892610377422093,174491.03027386207,0.7449103027386206,0.2224238703561544,33166.4612333088,9,109,89832.55565190801
MODERATE_2_TICKS_EACH_SIDE,0.005,0.5,34.15011656947397,0.0715935357850607,117536.46156019636,0.1753646156019634,0.0852560286787101,9461.275304488794,9,117,96344.27058555176
MODERATE_2_TICKS_EACH_SIDE,0.01,1.0,34.15011656947397,0.0715935357850607,135654.54162903846,0.3565454162903845,0.1642411045715084,20127.419059332373,9,117,92732.67433482126
MODERATE_2_TICKS_EACH_SIDE,0.015,1.5,34.15011656947397,0.0715935357850607,153767.96939732356,0.5376796939732356,0.237321562578887,31960.156120932967,9,117,89170.63176235238
SEVERE_4_TICKS_EACH_SIDE,0.005,0.5,17.295319702354252,0.0362585318707636,108035.45962688352,0.0803545962688352,0.0969032476756054,10521.606245595642,9,201,95872.2621529437
SEVERE_4_TICKS_EACH_SIDE,0.01,1.0,17.295319702354252,0.0362585318707636,114604.78847023004,0.1460478847023003,0.185464708396647,21758.187203023743,9,203,91824.30018858371
SEVERE_4_TICKS_EACH_SIDE,0.015,1.5,17.295319702354252,0.0362585318707636,119393.67541829258,0.1939367541829257,0.2662923672378642,33591.99479494686,9,203,87860.71241672762
