instrument,rows,first_et,last_et,gaps,unsafe_gaps,bars_5m,sessions,eligible_sessions,range_gap_rejected
NQ,1047382,2022-12-26 18:00:00,2025-12-10 23:58:00,909,909,209513,2293,2265,28
USA500_PROXY,993650,2022-12-26 18:00:00,2025-12-10 23:58:00,16156,141,202579,1967,1967,0
