variant,policy,trades,expectancy_r,profit_factor,max_drawdown_r,net_r,return_dd,research_later_trades,research_later_expectancy_r,portfolio_retained,portfolio_removed,portfolio_added,funnel_gap_liquidations
CISD_OBSERVE,observe,495,0.1737469926176979,1.366382911440713,14.10785751380752,86.00476134576057,6.096231214526141,121,0.1770120928283138,495,0,0,4
CISD_SEQUENCE_CONFIRM,sequence_confirm,313,0.1342995110702394,1.2784122344816158,9.973117685192598,42.03574696498494,4.214905337715681,84,0.2344702591359546,309,186,4,4
CISD_LAST_CANDLE_CONFIRM,last_candle_confirm,313,0.1342995110702394,1.2784122344816158,9.973117685192598,42.03574696498494,4.214905337715681,84,0.2344702591359546,309,186,4,4
CISD_SEQUENCE_RECENT_3,sequence_recent_3,299,0.1299616181035952,1.2681941982035638,9.176643472958956,38.85852381297496,4.234502945165119,79,0.2165247233407665,294,201,5,3
CISD_SEQUENCE_RECENT_6,sequence_recent_6,313,0.1303559647908043,1.2684410741608394,9.973117685192598,40.80141697952174,4.091139628293055,84,0.2344702591359546,308,187,5,4
CISD_SEQUENCE_RETEST,sequence_retest,76,0.2399764886966964,1.535117013699642,6.163600849395805,18.23821314094893,2.9590191815773976,21,0.2568693428750614,74,421,2,1
