variant,policy,trades,expectancy_r,profit_factor,max_drawdown_r,net_r,return_dd,research_later_trades,research_later_expectancy_r,portfolio_retained,portfolio_removed,portfolio_added,funnel_gap_liquidations
IFVG_OBSERVE,observe,495,0.1737469926176979,1.366382911440713,14.10785751380752,86.00476134576057,6.096231214526141,121,0.1770120928283138,495,0,0,4
IFVG_CONFIRM_ANY,confirm_any,459,0.1615244564912393,1.341077879558378,13.074524180474189,74.13972552947888,5.670548656768783,112,0.1196483604830336,459,36,0,4
IFVG_CONFIRM_RECENT_3,recent_3,321,0.1622552123968971,1.3385435816833071,15.746542480876355,52.08392317940397,3.3076418675819235,80,0.0444503524071774,316,179,5,3
IFVG_CONFIRM_RECENT_6,recent_6,371,0.149090332313529,1.3114918149728103,14.906541140188784,55.312513288319295,3.71062024168665,91,0.0638009137278475,367,128,4,4
IFVG_CONFIRM_RECENT_12,recent_12,436,0.1531623606037784,1.3205798196805938,13.50922666057465,66.7787892232475,4.943198519137653,107,0.0800356420178218,435,60,1,4
IFVG_ZONE_TOUCH,zone_touch,214,0.1498573640303192,1.3077593442866655,10.015258136356843,32.06947590248832,3.2020618406300936,49,0.1153586136578044,212,283,2,2
