cohort,expectancy_r,net_r,trades
expiration_only,0.3459227219878889,3.1133044978910003,9
intersection,-0.28884259048366673,-5.199166628706001,18
neither,0.17185226032229262,46.400110287019004,270
roll_only,0.6604716243827143,4.623301370679,7
