contract_month,calendar_roll_candidate,nearest_market_date,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r
2023-03,2023-03-09,2023-03-09,1,2.6158653846153848,2.6158653846153848,inf,1.0,0.0,2.6158653846153848,,143.0,4.110576923076923,0.18269230769230768
2023-06,2023-06-08,2023-06-08,1,0.5854166666666667,0.5854166666666667,inf,1.0,0.0,0.5854166666666667,,258.0,1.25,0.75
2023-09,2023-09-07,2023-09-07,2,1.3686146187469646,1.3686146187469646,inf,1.0,0.0,2.737229237493929,,268.5,2.3745507527926177,0.786352598348713
2023-12,2023-12-07,2023-12-07,1,-1.0575757575757576,-1.0575757575757576,0.0,0.0,1.0575757575757576,-1.0575757575757576,-1.0,178.0,0.9090909090909091,1.0303030303030303
2024-03,2024-03-07,2024-03-07,1,2.611231884057971,2.611231884057971,inf,1.0,0.0,2.611231884057971,,132.0,4.086956521739131,0.18840579710144928
2024-06,2024-06-13,2024-06-13,0,,,,,,0.0,,,,
2024-09,2024-09-12,2024-09-12,1,0.5786585365853658,0.5786585365853658,inf,1.0,0.0,0.5786585365853658,,17.0,1.9024390243902438,0.4146341463414634
2024-12,2024-12-12,2024-12-12,1,-0.6367788461538462,-0.6367788461538462,0.0,0.0,0.6367788461538462,-0.6367788461538462,-1.0,175.0,0.17548076923076922,0.7475961538461539
2025-03,2025-03-13,2025-03-13,2,0.4661016949152542,0.4661016949152542,inf,1.0,0.0,0.9322033898305084,,387.0,1.0159901873327386,0.7808652988403211
2025-06,2025-06-12,2025-06-12,1,2.6054123711340207,2.6054123711340207,inf,1.0,0.0,2.6054123711340207,,26.0,4.041237113402062,0.2268041237113402
2025-09,2025-09-11,2025-09-11,0,,,,,,0.0,,,,
