period,group,trades,expectancy_r,net_r
development,retest,32,0.3183622412623774,10.187591720396078
development,complement,211,0.1771232776748686,37.37301158939727
validation,retest,21,0.2223642525693783,4.669649303956945
validation,complement,103,0.1583108870568519,16.30602136685575
research_later,retest,20,0.3212701870679948,6.425403741359896
research_later,complement,101,0.1484461335729315,14.99305949086608
