arm,common_trades,removed_from_s0,added_vs_s0,removed_raw_net_r,added_raw_net_r,portfolio_incremental_net_r
S1_FIRST_PER_ETH_DATE,259,45,0,7.202801630020,0.000000000000,-7.202801630020
S2_COOLDOWN_60,300,4,0,1.203003072569,0.000000000000,-1.203003072569
S3_SESSION_SLEEVES,304,0,6,0.000000000000,-2.193308168683,-33.356135740809
