variant,policy,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,development_trades,development_expectancy_r,validation_trades,validation_expectancy_r,research_later_trades,research_later_expectancy_r,funnel_entry_signals,funnel_sequence_confirmed,funnel_last_candle_confirmed,funnel_signals_filtered,funnel_skipped_position_open,funnel_skipped_unsafe_gap_bridge,portfolio_retained,portfolio_removed,portfolio_added
CISD_OBSERVE,observe,491,0.180235811449135,0.2051912568306011,1.3819983049452256,0.5112016293279023,14.107857513807524,88.49578342152539,6.272801049692594,243,0.1957226473654047,124,0.1691586344420378,121,0.1770120928283138,508,318,318,0,13,4,491,0,0
CISD_SEQUENCE_CONFIRM,sequence_confirm,309,0.144099576183656,0.2051912568306011,1.3010414081461683,0.5080906148867314,9.973117685192598,44.52676904074973,4.464678994699925,145,0.0925593932112321,78,0.1726323226951247,84,0.2344702591359546,508,318,318,190,5,4,305,186,4
CISD_LAST_CANDLE_CONFIRM,last_candle_confirm,309,0.144099576183656,0.2051912568306011,1.3010414081461683,0.5080906148867314,9.973117685192598,44.52676904074973,4.464678994699925,145,0.0925593932112321,78,0.1726323226951247,84,0.2344702591359546,508,318,318,190,5,4,305,186,4
CISD_SEQUENCE_RECENT_3,sequence_recent_3,296,0.1363052979322232,0.1561859564403348,1.282502058108405,0.5067567567567568,9.176643472958956,40.34636818793809,4.396636777578615,141,0.1010680651076304,74,0.1492632942751418,79,0.2165247233407665,508,318,318,205,4,3,291,200,5
CISD_SEQUENCE_RECENT_6,sequence_recent_6,309,0.1401049807614451,0.1071806560500685,1.2907108826962015,0.5048543689320388,9.973117685192598,43.29243905528655,4.340913285277301,145,0.0925593932112321,78,0.1568075792917504,84,0.2344702591359546,508,318,318,191,4,4,304,187,5
CISD_SEQUENCE_RETEST,sequence_retest,75,0.2565518778900079,0.5786585365853658,1.5816713997929364,0.5466666666666666,5.160423148594144,19.241390841750597,3.728645943887864,32,0.3183622412623774,22,0.1663428600444646,21,0.2568693428750614,508,318,318,432,0,1,73,418,2
