excluded_day_of_week,removed_trades,removed_net_r,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r
3,145,30.81062457674311,350,0.15769753362576397,0.09101268827348145,1.3313266603239855,0.5057142857142857,12.352554223115632,55.194136769017405,4.468236752665395,209.49714285714285,1.5031070692322932,0.7290630899898325
4,87,27.39337346176033,408,0.14365536246078475,0.09101268827348145,1.297540911790612,0.5073529411764706,17.789056701915108,58.61138788400018,3.294800217129573,213.10294117647058,1.4593742791910123,0.7443344949129597
2,128,16.398760330533882,367,0.1896621281068845,0.22422360248447204,1.4029578757254444,0.5095367847411444,12.032795415225294,69.60600101522665,5.7846908065230656,206.58310626702996,1.4803178174615408,0.7360272635979433
1,135,11.402002976723182,360,0.20722988435843703,0.21470742965753659,1.4442983433460477,0.5138888888888888,7.7725866394765974,74.60275836903732,9.598189358241884,206.2888888888889,1.5355910733821725,0.7359383649440946
