session,day_of_week,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r,share_of_total_net
ASIA_7PM,1,48,-0.02745400349193679,-1.0127982400435454,0.9527230180505052,0.4166666666666667,12.392892897920747,-1.3177921676129685,-0.10633450788831272,255.91666666666666,1.3237614911584146,0.77448915273113,-0.015322316427518665
ASIA_7PM,2,46,0.1969176717300269,0.5916060606060606,1.4437477321501035,0.5652173913043478,6.360859227729845,9.058212899581234,1.4240549232865287,273.89130434782606,1.554437496397795,0.7379784101628684,0.10532222586101911
ASIA_7PM,3,54,0.1971059400903574,0.32705239914060635,1.4171080538355962,0.5370370370370371,5.164096130009309,10.6437207648793,2.0611004320827995,278.462962962963,1.4487114465011008,0.7839754875728489,0.12375734317881423
LONDON_2AM,1,44,0.04790733319850229,-0.22170321372477952,1.094236553514302,0.5,5.025020156330531,2.107922660734099,0.4194854140193912,205.25,1.535546153545475,0.8381028699299076,0.024509371664432927
LONDON_2AM,2,38,0.3704144846125625,0.5957623106060606,1.8077095870575934,0.5526315789473685,4.168713467771933,14.075750415277374,3.3765214433892217,194.73684210526315,1.8727526234522305,0.6978310468868941,0.1636624553690622
LONDON_2AM,3,44,0.19930038602659905,-0.2138693849059703,1.3886930827904722,0.5,4.931956466840471,8.769216985170354,1.7780402248335587,132.5909090909091,1.6894415394825146,0.7780388554279413,0.10196199428908272
LONDON_2AM,4,45,0.6217990666250772,0.5993243243243244,2.5270955998742277,0.6,5.1207101830631245,27.98095799812848,5.464272922665335,183.3111111111111,2.190317513045014,0.7093531950855188,0.325341964331929
NEW_YORK_9AM,1,43,0.24678773217679179,0.4705508474576271,1.6397930433315708,0.5813953488372093,3.7873273424218548,10.61187248360205,2.80194224690812,183.04651162790697,1.2856550334856,0.5965187719193441,0.12338703482868452
NEW_YORK_9AM,2,44,-0.1530727950982894,-1.0031603906579414,0.7212563522458045,0.4090909090909091,10.95910630984786,-6.735202984324732,-0.614575932918223,173.52272727272728,1.2103448103454288,0.7739439043358396,-0.07831197806883672
NEW_YORK_9AM,3,47,0.242503975036031,0.0686335403726708,1.5677221426715842,0.5106382978723404,4.023986353431651,11.39768682669346,2.832436749437166,196.91489361702128,1.2882386193505329,0.6999926960896057,0.13252390505302292
NEW_YORK_9AM,4,42,-0.013990108008765212,-0.22563261507220217,0.9697606613731442,0.42857142857142855,6.64058827301018,-0.5875845363681396,-0.08848380779099069,196.54761904761904,1.0764652664787882,0.6912084875495277,-0.006832000079692144
