excluded_session,excluded_day_of_week,removed_trades,removed_net_r,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r
LONDON_2AM,4,45,27.980957998128474,450,0.12894178521696006,-0.006914893617021278,1.268110979747155,0.5,14.882412951104897,58.02380334763206,3.898816914855482,211.55777777777777,1.4236361046712047,0.7393760675590395
LONDON_2AM,2,38,14.075750415277374,457,0.15739389700324533,0.0748447204968944,1.3309921354752698,0.5054704595185996,13.590124607369523,71.92901093048316,5.292741090208855,210.1750547045952,1.4617854168443827,0.7398742765836195
NEW_YORK_9AM,3,47,11.397686826693457,448,0.16653364848006036,0.21470742965753659,1.3475529158565378,0.5089285714285714,14.346794202808736,74.60707451906708,5.200261010537178,210.25669642857142,1.5148511608919482,0.7404921148754566
ASIA_7PM,3,54,10.6437207648793,441,0.1708867133353315,0.0748447204968944,1.360196192273537,0.5056689342403629,10.365872527296892,75.36104058088127,7.270110681221464,200.48299319727892,1.498798451424055,0.7308513556722952
NEW_YORK_9AM,1,43,10.611872483602047,452,0.16679842668619127,0.03750825954803753,1.34559530153717,0.5022123893805309,12.013490911184348,75.39288886215847,6.275685345711547,211.4579646017699,1.513091523781387,0.7499774712121334
ASIA_7PM,2,46,9.058212899581237,449,0.1713731591228937,0.0686335403726708,1.3590145186487936,0.5033407572383074,14.305246972231469,76.94654844617935,5.378903880201691,202.34075723830736,1.4870744105896863,0.7365102835477153
LONDON_2AM,3,44,8.769216985170358,451,0.1712539786265857,0.17774647887323944,1.3640106975463602,0.5099778270509978,12.286902172933798,77.23554436059018,6.28600629137656,216.44345898004434,1.4742020120883306,0.7326084579636069
LONDON_2AM,1,44,2.1079226607341006,451,0.18602403256103417,0.17774647887323944,1.395047202076815,0.5099778270509978,11.620362558969074,83.89683868502644,7.219812485133814,209.35476718403547,1.4892161960821881,0.7267485541097564
NEW_YORK_9AM,4,42,-0.5875845363681389,453,0.1911530814175025,0.23779264214046822,1.402177141142326,0.5165562913907285,17.014501264617735,86.5923458821287,5.089326130422676,210.14348785871965,1.5319845342096214,0.7408595313539424
ASIA_7PM,1,48,-1.317792167612966,447,0.19535246871000775,0.3122033898305085,1.4221208600111135,0.5190156599552572,12.03001470444297,87.3225535133736,7.2587237554350885,203.95078299776287,1.5115435875021561,0.7325830980969169
NEW_YORK_9AM,2,44,-6.735202984324733,451,0.20563184995584308,0.3419014084507042,1.4404079940042136,0.5188470066518847,11.991611675849693,92.73996433008533,7.7337364515278155,212.450110864745,1.5209431563943876,0.7330079653872265
