period,cisd_sequence_retest_on_entry_bar,trades,net_r,expectancy_r
development,False,20,1.0266651161781482,0.05133325580890741
development,True,12,9.16092660421793,0.7634105503514942
research_later,False,15,5.28727905705033,0.352485270470022
research_later,True,6,0.10697714332595898,0.01782952388765983
validation,False,16,-0.9688598733787244,-0.06055374208617027
validation,True,6,4.628402794356946,0.7714004657261576
