variant,policy,coverage,trades,expectancy_r,profit_factor,max_drawdown_r,net_r,return_dd,development_trades,development_expectancy_r,validation_trades,validation_expectancy_r,research_later_trades,research_later_expectancy_r
CISD_OBSERVE,observe,1.0,491,0.180235811449135,1.3819983049452256,14.107857513807524,88.49578342152539,6.272801049692594,243,0.1957226473654047,124,0.1691586344420378,121,0.1770120928283138
CISD_SEQUENCE_CONFIRM,sequence_confirm,0.6211812627291242,305,0.1486880048999608,1.3109126843176655,9.553494966904026,45.34984149448805,4.746937288562203,144,0.0889372858228181,77,0.1880897891274327,82,0.24530639616718
CISD_LAST_CANDLE_CONFIRM,last_candle_confirm,0.6211812627291242,305,0.1486880048999608,1.3109126843176655,9.553494966904026,45.34984149448805,4.746937288562203,144,0.0889372858228181,77,0.1880897891274327,82,0.24530639616718
CISD_SEQUENCE_RECENT_3,sequence_recent_3,0.5926680244399185,291,0.144946896991942,1.30180176006033,9.176643472958956,42.17954702465512,4.596402502608568,140,0.0974032451645217,72,0.1815719826657195,77,0.2275983878208976
CISD_SEQUENCE_RECENT_6,sequence_recent_6,0.6191446028513238,304,0.1484395325394854,1.3093754361192502,9.553494966904026,45.12561789200358,4.723466966626488,144,0.0889372858228181,76,0.1876143442148401,82,0.24530639616718
CISD_SEQUENCE_RETEST,sequence_retest,0.1486761710794297,73,0.2915430789823687,1.6856912730386888,4.598028430476006,21.28264476571292,4.628645752742693,32,0.3183622412623774,21,0.2223642525693784,20,0.3212701870679948
