label_semantics,interval_open_shift_minutes,reset_interval_open,price_basis,mae,rmse,median_abs,p95_abs,correlation
bar_open,0,18:00,hlc3,2.4962278698115813e-06,2.8839140462578317e-06,2.4951114028226584e-06,4.749464824271854e-06,1.0
bar_open,0,18:01,hlc3,2.4962278698115813e-06,2.8839140462578317e-06,2.4951114028226584e-06,4.749464824271854e-06,1.0
bar_close,-1,18:00,hlc3,2.4962278698115813e-06,2.8839140462578317e-06,2.4951114028226584e-06,4.749464824271854e-06,1.0
bar_open,0,18:00,hl2,0.12606342583158597,0.2724371095875353,0.0670679167869821,0.40310470408858207,0.999999996068641
bar_open,0,18:01,hl2,0.12606342583158597,0.2724371095875353,0.0670679167869821,0.40310470408858207,0.999999996068641
bar_close,-1,18:00,hl2,0.12606342583158597,0.2724371095875353,0.0670679167869821,0.40310470408858207,0.999999996068641
bar_open,0,18:00,ohlc4,0.1553213943483594,0.32264603739194625,0.08871870100847445,0.4846491163712925,0.999999994502347
bar_open,0,18:01,ohlc4,0.1553213943483594,0.32264603739194625,0.08871870100847445,0.4846491163712925,0.999999994502347
bar_close,-1,18:00,ohlc4,0.1553213943483594,0.32264603739194625,0.08871870100847445,0.4846491163712925,0.999999994502347
bar_open,0,18:00,close,0.25212684675824465,0.5448742126121114,0.13413681065685523,0.8062069786639766,0.9999999842748514
bar_open,0,18:01,close,0.25212684675824465,0.5448742126121114,0.13413681065685523,0.8062069786639766,0.9999999842748514
bar_close,-1,18:00,close,0.25212684675824465,0.5448742126121114,0.13413681065685523,0.8062069786639766,0.9999999842748514
bar_close,-1,18:01,ohlc4,0.3973960215804121,3.0812104874508384,0.1560760259417293,1.2934789847051418,0.9999994966162394
bar_close,-1,18:01,hl2,0.42057155339762564,3.0926550174755745,0.16904322240952752,1.3766777988057575,0.9999994926422756
bar_close,-1,18:01,hlc3,0.4322455998519197,3.1043298905648093,0.15487439508433454,1.4771623152067148,0.9999994888447187
bar_close,-1,18:01,close,0.6026718274813612,3.167759089886576,0.3073183381184208,1.8291181337488522,0.9999994678387517
