layer,interaction_delta_r,lo95,hi95,prob_positive
UNFILTERED,-8.27610459034451,-26.22942467494536,8.143565746470466,0.1652
E5_EXCLUDE_COMPRESSED_RANGE,-5.246271366471953,-21.527763997199983,10.28050552299351,0.2609
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,-12.164784748381699,-27.503450436377147,1.398323407228325,0.03995
