cost_scenario,risk_fraction,risk_pct,adjusted_net_r,adjusted_expectancy_r,final_equity_usd,total_return_pct,maximum_drawdown_pct,maximum_drawdown_usd,longest_losing_streak,maximum_time_under_water_trades,maximum_time_under_water_calendar_days,minimum_equity_usd,largest_trade_loss_usd,largest_trade_gain_usd
NORMAL_1_TICK_EACH_SIDE,0.005,0.5,48.937549526883004,0.16097878133843094,126939.76556882041,0.26939765568820406,0.042568377063782914,4707.040670127011,7,44,162,97029.26215154228,-648.7475632638962,1637.6939413816726
NORMAL_1_TICK_EACH_SIDE,0.01,1.0,48.937549526883004,0.16097878133843094,159184.78246252862,0.5918478246252861,0.08394629026537337,10228.704363697005,7,51,190,94066.16400669041,-1638.871268789051,4041.9722298728884
NORMAL_1_TICK_EACH_SIDE,0.015,1.5,48.937549526883004,0.16097878133843094,197230.92539059423,0.9723092539059424,0.12413311727036569,16610.5141161722,7,51,190,91115.71688488948,-3068.1134222762485,7394.84238252361
MODERATE_2_TICKS_EACH_SIDE,0.005,0.5,43.54516090913855,0.1432406608853242,123565.21968594116,0.23565219685941163,0.04595440365887271,5041.943863626686,7,51,190,96803.12183910007,-648.3906350210164,1593.3351835483627
MODERATE_2_TICKS_EACH_SIDE,0.01,1.0,43.54516090913855,0.1432406608853242,150838.62777011804,0.5083862777011803,0.0904353130259059,10848.923748535424,7,51,190,93627.26048538294,-1577.696819388715,3829.291921339318
MODERATE_2_TICKS_EACH_SIDE,0.015,1.5,43.54516090913855,0.1432406608853242,181932.13878819128,0.8193213878819128,0.13345376682643817,17445.50938547244,7,77,301,90477.34835841702,-2876.007081668009,6822.060206487746
SEVERE_4_TICKS_EACH_SIDE,0.005,0.5,32.760383673649635,0.10776441997911064,117081.55492095611,0.1708155492095611,0.05269274075049146,5691.677250803652,7,131,498,96352.34389958905,-734.9801933488343,1508.1696945170843
SEVERE_4_TICKS_EACH_SIDE,0.01,1.0,32.760383673649635,0.10776441997911064,135430.078279351,0.35430078279351007,0.10328406973186022,12009.785958885914,7,136,504,92755.28842002596,-1564.6894934005395,3436.7545930714696
SEVERE_4_TICKS_EACH_SIDE,0.015,1.5,32.760383673649635,0.10776441997911064,154786.95874823123,0.5478695874823123,0.15181636718763247,18939.717262852995,7,141,519,89213.34640821828,-2600.0845354273915,5805.562974497123
