arm,eligible_sessions,qualifying_signals,trades,net_r,expectancy_r,profit_factor,max_drawdown_r,return_dd,two_tick_expectancy_r,four_tick_expectancy_r,net_2022,net_2023,net_2024,net_2025,positive_years,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,gate_all,uncertainty_class
P0_TUE_FRI_ALL,2032,628,601,-19.56007450260267,-0.032545881035944545,0.9392743432711907,31.718743623888408,-0.616672423553099,-0.08640408868171652,-0.19412050397326047,-14.051845185544988,10.954420792428799,-5.425143118078031,-11.037506991408451,1,0.0,0.0,0.0,,true,NOT_BETTER
P1_MON_FRI_ALL,2568,785,747,-24.826816973949548,-0.033235364088285875,0.9372796100939016,36.695402977091106,-0.6765647726896172,-0.0882537853286876,-0.19829062780949114,-15.543995957899703,11.400424329592475,-0.026197281249412008,-20.65704806439291,1,-5.266742471346873,-33.90696239809743,23.086353401121084,0.35545,false,NOT_BETTER
P2_TUE_FRI_NO_ASIA,1546,483,470,-2.254786529587734,-0.004797418148059008,0.9908990933084969,20.305205312923324,-0.11104475403421145,-0.053768492871813504,-0.15171064231932252,-7.233378451827267,12.160429900452769,6.18712394040865,-13.368961918621878,2,17.305287973014938,-11.782516411265513,46.04406788095547,0.8803,false,EXPLORATORY
P3_MON_FRI_NO_ASIA,1930,589,573,-3.795910781580914,-0.00662462614586547,0.9873584899628035,21.824554055181487,-0.17392844646370706,-0.05580684025481692,-0.15417126847271978,-13.62012513293268,13.293913898237353,12.396200944701341,-15.865900491586942,2,15.76416372102175,-20.598132450834978,52.674484503647136,0.80255,false,EXPLORATORY
