arm,eligible_sessions,qualifying_signals,trades,net_r,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,return_dd,one_tick_expectancy_r,two_tick_expectancy_r,four_tick_expectancy_r,net_2022,net_2023,net_2024,net_2025,positive_years,minimum_year_net_r,single_year_positive_net_share,single_session_positive_net_share,blocks,lo95_expectancy_r,hi95_expectancy_r,prob_expectancy_positive,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,gate_cost,gate_return_dd,gate_years,gate_sample,gate_concentration,gate_paired_mean,gate_all,uncertainty_class
S0_ALL,2032,628,601,-19.56007450260267,-0.032545881035944545,-0.6577538075885999,0.9392743432711907,0.4492512479201331,31.718743623888408,-0.616672423553099,-0.032545881035944545,-0.08640408868171652,-0.19412050397326047,-14.051845185544988,10.954420792428799,-5.425143118078031,-11.037506991408451,1,-14.051845185544988,inf,inf,479,-0.1267489567358958,0.06356665027267538,0.25145,0.0,0.0,0.0,,True,True,True,True,True,True,True,NOT_BETTER
S1_LONDON_ONLY,724,253,253,16.97965108725046,0.06711324540415202,-1.0146868250539953,1.1228066688810732,0.47035573122529645,15.466467420574125,1.0978364112197616,0.06711324540415202,0.0069987326536184525,-0.11323029284744866,-2.7235906984403035,13.157448083075044,12.802623617217613,-6.256829914601897,2,-6.256829914601897,0.7748950797319151,0.9999999999999998,253,-0.09140595818940919,0.23115672171030854,0.7925,36.53972558985313,-4.459207269488254,77.37307110975568,0.9596,True,True,False,True,False,True,False,EXPLORATORY
S2_NEW_YORK_ONLY,822,230,230,-24.85639861151394,-0.10807129831093017,-0.4597634825247068,0.7887875653799199,0.4391304347826087,29.170222243699406,-0.8521155034011704,-0.10807129831093017,-0.1438834468635396,-0.21550774396875846,-6.956464807118001,-3.571981277874692,-7.059796179742283,-7.268156346778959,0,-7.268156346778959,inf,inf,230,-0.24011708771544218,0.02931631818493002,0.06095,-5.296324108911263,-55.01951195207633,43.24015237505814,0.4168,False,False,False,True,False,False,False,NOT_BETTER
S3_ASIA_ONLY,486,145,145,-16.081772166900926,-0.11090877356483397,-1.0182658214247344,0.8054484043876932,0.4206896551724138,25.103199006839052,-0.640626406320551,-0.11090877356483397,-0.18074752623063564,-0.320425031562239,-9.316518332019708,0.9204418020190086,-11.150827587914142,3.4651319510139125,2,-11.150827587914142,inf,inf,145,-0.2925990623352117,0.07788887347315698,0.1221,3.4783023357017484,-47.846117698009905,52.48304333481951,0.549,False,True,False,False,False,True,False,EXPLORATORY
S4_LONDON_ASIA,1210,398,384,-0.3256368857644789,-0.0008480127233449972,-1.0158421076107162,0.99846841867123,0.453125,20.2713878716143,-0.0160638673497271,-0.0008480127233449972,-0.06480986012133805,-0.19273355491732413,-9.542057432158018,11.951438975051081,1.190356558730932,-3.9253749873884685,2,-9.542057432158018,inf,inf,341,-0.1293364133391276,0.1285921855770002,0.49245,19.234437616838193,-11.214654027921604,49.440222315807176,0.89195,False,True,False,True,False,True,False,EXPLORATORY
S5_ASIA_NEW_YORK,1308,375,375,-40.93817077841486,-0.10916845540910629,-0.6076115485564552,0.7956616890599468,0.432,49.55651120215883,-0.8260906545945766,-0.10916845540910629,-0.1581375575521501,-0.2560757618382376,-16.272983139137715,-2.651539475855685,-18.210623767656422,-3.8030243957650445,0,-18.210623767656422,inf,inf,340,-0.21610895981976647,-0.0013415655862684792,0.02375,-21.378096275812194,-62.24417924659932,19.010220555972747,0.15045,False,False,False,True,False,False,False,NOT_BETTER
