arm,trades,net_r,expectancy_r,two_tick_expectancy_r,four_tick_expectancy_r,max_drawdown_r,return_dd,net_2022,net_2023,net_2024,net_2025,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,relative_gate_all,absolute_viability
E0_CONTEXT_BASELINE,601,-19.56007450260267,-0.032545881035944545,-0.08640408868171652,-0.19412050397326047,31.718743623888408,-0.616672423553099,-14.051845185544988,10.954420792428799,-5.425143118078031,-11.037506991408451,0.0,0.0,0.0,,,
E_NO_FOMC_DAY,576,-19.75073246865421,-0.03428946609141356,-0.088027703009808,-0.1955041768465969,32.35952912909334,-0.6103529006822601,-15.145041887228775,9.688358529721881,-4.249553462121192,-10.044495649026127,-0.19065796605153817,-14.359140757557583,13.830267759043403,0.4922,false,false
E_NO_CPI_DAY,573,-34.06232039218054,-0.059445585326667605,-0.11359023993346737,-0.22187954914706692,42.89214022671897,-0.7941389777272518,-18.87444908911852,4.138872121848303,-4.270905020335055,-15.055838404575258,-14.502245889577864,-29.628622752754318,-0.868254474483339,0.0177,false,false
E_NO_NFP_DAY,576,-20.477002887402556,-0.035550352235073884,-0.08954468439697033,-0.19753334872076322,38.730094875212004,-0.5287103724733767,-8.43077342420812,14.649650645670985,-14.352146410171795,-12.343733698693622,-0.9169283847998795,-14.790367183732405,11.766370284139512,0.4545,false,false
E_NO_MONTHLY_OPEX_DAY,570,-13.70515999792914,-0.024044140347244107,-0.0782399802911008,-0.18663166017881425,32.37033222535659,-0.4233864485083506,-9.468743155926093,14.749510350709603,-7.629927732305948,-11.35599946040669,5.854914504673538,-5.84711266285822,17.388520461806174,0.84065,true,false
E_NO_QUARTERLY_EXPIRATION_DAY,589,-18.938733559447066,-0.03215404679023271,-0.08608180693552366,-0.19393732722610557,31.05498953719446,-0.6098451115806756,-12.598626390529775,10.145628165282025,-7.501726889622427,-8.984008444576904,0.6213409431555935,-7.421937661271092,7.511738802803325,0.5841,true,false
