arm,trades,net_r,expectancy_r,two_tick_expectancy_r,four_tick_expectancy_r,max_drawdown_r,return_dd,net_2022,net_2023,net_2024,net_2025,positive_years,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,gate_all,uncertainty_class
C0_CALENDAR_BASELINE,601,-19.56007450260267,-0.032545881035944545,-0.08640408868171652,-0.19412050397326047,31.718743623888408,-0.616672423553099,-14.051845185544988,10.954420792428799,-5.425143118078031,-11.037506991408451,1,0.0,0.0,0.0,,true,NOT_BETTER
C1_EXCLUDE_COMPRESSED_RANGE,406,3.4868043540848443,0.008588188064248384,-0.039699205190163296,-0.1362739916989867,18.99540294293297,0.18356043115063644,-5.52052931039708,2.3099936633508165,-0.2860020431085366,6.983342044239652,2,23.04687885668752,-10.556814279494574,56.27659053637642,0.91245,false,EXPLORATORY
C2_EXCLUDE_NEAR_PRIOR_DAY_EXTREME,386,-6.15016362440029,-0.01593306638445671,-0.07053986843858424,-0.1797534725468393,26.51232065907743,-0.23197379450427563,-21.905619675539306,2.067559609595232,11.747710955518354,1.9401854860254328,3,13.409910878202385,-23.523758009621076,49.86736817495173,0.7633,false,EXPLORATORY
C3_PATH_LE_12_BARS,225,-16.93260616487682,-0.07525602739945253,-0.12303841581832191,-0.21860319265606076,22.779381692994537,-0.7433303674824586,-12.472372534342432,13.388556544257765,-13.227304230076752,-4.621485944715398,1,2.6274683377258548,-44.84713236334026,49.812329665524885,0.54845,false,EXPLORATORY
C4_ENTRY_EXTENSION_LE_0_35R,476,-16.992591027647016,-0.03569872064631726,-0.09027442128140778,-0.19942582255158872,24.441617868761842,-0.6952318426254744,-15.995180815670142,10.586053373209493,-2.0389262017416914,-9.54453738344468,1,2.5674834749556505,-23.899105671010865,28.060482127255774,0.5795,false,EXPLORATORY
C5_BOS_QUALITY_2_OF_3,456,-7.641693155690222,-0.01675809902563645,-0.07020160980260555,-0.17708863135654376,19.091754058650196,-0.40026144964023785,-13.840327989286124,15.034592036193438,3.9511707918373276,-12.787127994434854,2,11.918381346912456,-15.23289639138933,38.30289051686422,0.81035,false,EXPLORATORY
C6_CLEAR_TO_TP1,139,-12.080893212311794,-0.08691290080799852,-0.14105972164314884,-0.24935336331344954,18.155937206753144,-0.6653962874369426,-13.405067897871142,4.1493868344172675,-3.19982480490998,0.3746126560520634,2,7.479181290290883,-42.914430364882904,56.9296159092355,0.6082,false,EXPLORATORY
