arm,trades,net_r,expectancy_r,gross_expectancy_r,profit_factor,win_rate,max_drawdown_r,stress_1p5x_cost_expectancy_r,trades_2022,net_2022,exp_2022,trades_2023,net_2023,exp_2023,trades_2024,net_2024,exp_2024,trades_2025,net_2025,exp_2025,dev_expectancy_r,confirmation_expectancy_r,lockbox_expectancy_r,single_year_positive_share,ci_lo,ci_hi,p_positive,gate_trades,gate_expectancy,gate_pf,gate_dev,gate_confirmation,gate_lockbox,gate_stress,gate_concentration,gate_ci,promoted
FX_A1_ASIA_LONDON_BOS_MID,54,-6.9109311090164205,-0.1279802057225263,-0.04380018202901413,0.7021160697878961,0.5925925925925926,9.70645310570255,-0.1823663713779623,24,0.6833056116870044,0.028471067153625185,9,-4.51084717319084,-0.5012052414656489,2,-0.8291078704977837,-0.41455393524889184,19,-2.2542816770147995,-0.1186464040534105,-0.11598610792435868,-0.41455393524889184,-0.1186464040534105,1.0,-0.35467034996037866,0.08461096576431308,0.125,False,False,False,False,False,False,False,False,False,False
FX_A2_ASIA_LONDON_PULLBACK_OPPOSITE,51,4.1220660184597575,0.08082482389136779,0.16318750879376473,1.1953763193630151,0.5882352941176471,5.2586943068239735,0.027190372949947215,17,5.045413164678355,0.2967890096869621,14,1.1339557054999068,0.08099683610713619,5,0.9315296330970808,0.18630592661941617,15,-2.9888324848155845,-0.19925549898770564,0.19933447968316975,0.18630592661941617,-0.19925549898770564,0.7095324398673941,-0.19556920565221403,0.36699466898460453,0.7048,False,True,True,True,True,False,True,False,False,False
FX_B1_PREVDAY_LONDON_BOS_MID,55,9.686198088574953,0.1761126925195446,0.2549031030299886,1.4240428268430014,0.5636363636363636,3.346376341408522,0.12949620154164207,17,4.666682729564071,0.27451074879788656,13,0.20652279244116434,0.015886368649320335,10,5.390581437390957,0.5390581437390958,15,-0.5775888708212435,-0.038505924721416236,0.1624401840668412,0.5390581437390958,-0.038505924721416236,0.5252039484759609,-0.11594147547983873,0.48078436513118616,0.8686,False,True,True,True,True,False,True,True,False,False
FX_B2_PREVDAY_NY_BOS_MID,49,-5.687218576706223,-0.11606568523890251,-0.04523888998210549,0.7909035881954664,0.42857142857142855,11.26472839127864,-0.1599764571483388,14,0.4358260151502291,0.031130429653587793,11,-5.93425139794591,-0.5394773998132645,11,-0.6900851366181897,-0.06273501241983542,13,0.501291942707649,0.03856091866981915,-0.21993701531182727,-0.06273501241983542,0.03856091866981915,0.5349293954984418,-0.43774252384076423,0.24757181969450473,0.245,False,False,False,False,False,True,False,True,False,False
FX_C1_ASIA_LONDON_BOS_1P5R,130,9.08181198446714,0.06986009218820878,0.1509598503857028,1.139131225846189,0.47692307692307695,8.175999745790616,0.019697411497947435,38,12.544124071713945,0.3301085282029986,31,0.010305127854322693,0.00033242347917169975,20,-2.513358496908201,-0.12566792484541006,41,-0.9592587181929255,-0.023396554102266476,0.18194824926910536,-0.12566792484541006,-0.023396554102266476,0.9991791639675122,-0.13156515883555167,0.2617981644859086,0.7528,False,True,False,True,False,False,True,False,False,False
FX_C2_LONDON_NY_BOS_1P5R,122,-7.618107812634474,-0.06244350666093831,0.005815775216352468,0.8770916038496381,0.4180327868852459,18.551055117326335,-0.10384081157523337,26,-10.987094268155563,-0.42258054877521395,37,-5.664085662220278,-0.15308339627622372,26,5.992096325490019,0.23046524328807766,33,3.0409757922513503,0.09215078158337425,-0.26430444333929903,0.23046524328807766,0.09215078158337425,0.6633508785700123,-0.24992920929621645,0.12631740447349737,0.2578,False,False,False,False,True,True,False,False,False,False
