arm,eligible_sessions,qualifying_signals,trades,net_r,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,return_dd,base_slippage_pips_each_side,one_pip_each_side_expectancy_r,two_pips_each_side_expectancy_r,net_2022,net_2023,net_2024,net_2025,positive_years,minimum_year_net_r,single_year_positive_net_share,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,blocks,lo95_expectancy_r,hi95_expectancy_r,prob_expectancy_positive,gate_positive_net,gate_cost,gate_years,gate_latest_year,gate_concentration,gate_sample,gate_paired_interval,gate_all
S1_LONDON_ONLY,830,284,284,-24.659904076806452,-0.0868306481577692,-1.024220877020214,0.846749629663291,0.426056338028169,31.894809506024068,-0.7731635478853969,0.6500000000002725,-0.11728203668119574,-0.2042860038910537,0.7752590795610559,-8.891703721872648,-9.631382718850617,-6.9120767156442415,1,-9.631382718850617,inf,27.485769041724993,-12.941043386031748,68.06327738077074,0.90885,284,-0.21972027707825892,0.050010794747216855,0.1039,False,False,False,False,False,True,False,False
S2_NEW_YORK_ONLY,831,266,266,-19.961809677170816,-0.07504439728259706,-0.09795819878559064,0.800540189140065,0.46616541353383456,31.24231652824701,-0.6389350053195579,0.6500000000002725,-0.10099111087069777,-0.1751245782653289,-9.45284519345438,-6.129336274377511,-10.348800800444584,5.9691725911056555,1,-10.348800800444584,inf,32.18386344136062,-16.29521846761119,79.72816565943097,0.9056,266,-0.17078996087205595,0.02412028823054026,0.0688,False,False,False,True,False,True,False,False
S3_ASIA_ONLY,580,168,168,-14.75583235825368,-0.08783233546579572,-0.5362720550267539,0.8419644749412205,0.42857142857142855,20.072876390326904,-0.7351129988208616,0.6500000000002725,-0.1280751425742696,-0.24305459145571312,3.4247933764672718,-7.547815364029289,-4.035218118638456,-6.597592252053207,1,-7.547815364029289,inf,37.38984076027775,-6.527112215907551,81.01961439453703,0.951,168,-0.255204478213971,0.08716586788974147,0.15875,False,False,False,False,False,True,False,False
S4_LONDON_NEW_YORK,1661,550,527,-37.629674788384904,-0.07140355747321614,-0.21428571428571472,0.8486634839962758,0.4497153700189753,55.17246465121357,-0.6820372268353467,0.6500000000002725,-0.09983139372736015,-0.18105378302497777,-2.7131084769465126,-14.095826445510642,-20.34659260669714,-0.47414725923060264,0,-20.34659260669714,inf,14.515998330146541,-16.535559051806974,45.3755274489548,0.82085,465,-0.15569256686159946,0.016705507529438,0.05455,False,False,False,False,False,True,False,False
S5_LONDON_ASIA,1410,452,424,-39.36110896056773,-0.09283280415228237,-1.023583826141084,0.8357833796919826,0.42452830188679247,41.538691367953824,-0.9475770098750378,0.6500000000002725,-0.12722197231099738,-0.22547673847883098,0.3622225786365225,-13.622062323901455,-9.952435781232102,-16.14883343407069,1,-16.14883343407069,inf,12.784564157963713,-12.180388409573252,37.4408949968813,0.83855,376,-0.20420386645378139,0.017824444741693143,0.05205,False,False,False,False,False,True,False,False
S6_ASIA_NEW_YORK,1411,434,434,-34.71764203542451,-0.0799945669018998,-0.14916056863200733,0.8205340166183469,0.45161290322580644,43.804307610277924,-0.7925622827851436,0.6500000000002725,-0.11147525217530621,-0.2014200672422518,-6.028051816987106,-13.6771516384068,-14.384018919083044,-0.6284196609475552,0,-14.384018919083044,inf,17.428031083106937,-20.65774038398302,54.385588736680425,0.8139,387,-0.16991278323314807,0.011779198356490049,0.04445,False,False,False,False,False,True,False,False
