arm,eligible_sessions,qualifying_signals,trades,net_r,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,return_dd,base_slippage_pips_each_side,one_pip_each_side_expectancy_r,two_pips_each_side_expectancy_r,net_2022,net_2023,net_2024,net_2025,positive_years,minimum_year_net_r,single_year_positive_net_share,blocks,lo95_expectancy_r,hi95_expectancy_r,prob_expectancy_positive,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive,gate_positive_net,gate_cost,gate_years,gate_latest_year,gate_concentration,gate_sample,gate_all,gate_paired_interval
P0_TUE_FRI_ALL,2241,718,669,-52.14567311853145,-0.07794569972874656,-0.25221238938051455,0.8412468669509027,0.4439461883408072,59.904206700633814,-0.8704843280727349,0.6500000000002725,-0.1092828167600274,-0.19881743684947095,-4.169693364967813,-17.59743010682795,-20.667645669078627,-9.710903977657056,0,-20.667645669078627,inf,531,-0.15641358554800647,0.002398271837150203,0.0289,0.0,0.0,0.0,,False,False,False,False,False,True,False,
P1_MON_FRI_ALL,2850,896,837,-70.51995672281139,-0.08425323383848433,-0.24712643678157017,0.8291932859245345,0.43966547192353644,71.85305728147083,-0.9814468498753328,0.6500000000002725,-0.11614913722011234,-0.20728028973912052,-15.685065386880925,-18.401634097507134,-15.96414466797172,-20.4691125704516,0,-20.4691125704516,inf,660,-0.15470096123226057,-0.009715530411570847,0.0122,-18.37428360427994,-46.46964438743366,10.116784975648242,0.10175,False,False,False,False,False,True,False,False
P2_TUE_FRI_NO_ASIA,1661,550,527,-37.629674788384904,-0.07140355747321614,-0.21428571428571472,0.8486634839962758,0.4497153700189753,55.17246465121357,-0.6820372268353467,0.6500000000002725,-0.09983139372736015,-0.18105378302497777,-2.7131084769465126,-14.095826445510642,-20.34659260669714,-0.47414725923060264,0,-20.34659260669714,inf,465,-0.15725104149567487,0.015057308241808827,0.0522,14.515998330146541,-16.67789980762668,44.98324029401182,0.8203,False,False,False,False,False,True,False,False
P3_MON_FRI_NO_ASIA,2075,673,646,-53.924482596307,-0.08347443126363313,-0.2105738338030203,0.8241689868861193,0.4458204334365325,64.89757843533505,-0.8309167136342104,0.6500000000002725,-0.11266455033854564,-0.19606489055264636,-10.467592463172254,-14.97924377943286,-23.73603165113666,-4.741614702565219,0,-23.73603165113666,inf,568,-0.15940816070008462,-0.00687576795202045,0.0166,-1.7788094777755559,-38.55502278723668,34.77633207308559,0.46525,False,False,False,False,False,True,False,False
