arm,observed_net_difference_r,lo95_net_difference_r,hi95_net_difference_r,prob_net_difference_positive
P0_TUE_FRI_ALL,0.0,0.0,0.0,
P1_MON_FRI_ALL,-18.37428360427994,-46.46964438743366,10.116784975648242,0.10175
P2_TUE_FRI_NO_ASIA,14.515998330146541,-16.67789980762668,44.98324029401182,0.8203
P3_MON_FRI_NO_ASIA,-1.7788094777755559,-38.55502278723668,34.77633207308559,0.46525
