stage,arm,observed,lo95,hi95,prob_positive
stage1,P1_MON_FRI_ALL,-18.374283604279945,-46.46964438743366,10.116784975648239,0.10175
stage1,P2_TUE_FRI_NO_ASIA,14.515998330146541,-16.677899807626684,44.98324029401183,0.8203
stage1,P3_MON_FRI_NO_ASIA,-1.778809477775555,-38.55502278723668,34.77633207308559,0.46525
stage1b,S1_LONDON_ONLY,27.485769041724993,-12.941043386031751,68.06327738077074,0.90885
stage1b,S2_NEW_YORK_ONLY,32.18386344136062,-16.295218467611196,79.72816565943097,0.9056
stage1b,S3_ASIA_ONLY,37.38984076027775,-6.527112215907551,81.01961439453703,0.951
stage1b,S4_LONDON_NEW_YORK,14.515998330146541,-16.53555905180697,45.3755274489548,0.82085
stage1b,S5_LONDON_ASIA,12.784564157963715,-12.180388409573252,37.4408949968813,0.83855
stage1b,S6_ASIA_NEW_YORK,17.428031083106934,-20.65774038398302,54.385588736680425,0.8139
